fam_name	# chemicals	# family specific chemicals	# med plants
Nyctaginaceae	0.7915309446254072	0.19218241042345277	0.016286644951140065
Apiaceae	0.7450352338244715	0.23814862267777065	0.016816143497757848
Dichotomosiphonaceae	0.8732394366197183	0.1267605633802817	0.0
Haplomitriaceae	0.5	0.5	0.0
Hedwigiaceae	0.6153846153846154	0.38461538461538464	0.0
Drosophyllaceae	1.0	0.0	0.0
Loasaceae	0.8947368421052632	0.10526315789473684	0.0
Oocystaceae	0.972972972972973	0.02702702702702703	0.0
Zosteraceae	0.84	0.14	0.02
Entodontaceae	1.0	0.0	0.0
Achariaceae	0.79375	0.2	0.00625
Didymochlaenaceae	0.8571428571428571	0.14285714285714285	0.0
Theaceae	0.6902050113895216	0.3052391799544419	0.004555808656036446
Stilbaceae	0.9583333333333334	0.0	0.041666666666666664
Pedaliaceae	0.8104089219330854	0.17843866171003717	0.011152416356877323
Salicaceae	0.8019323671497585	0.178743961352657	0.01932367149758454
Dendrocerotaceae	0.6666666666666666	0.3333333333333333	0.0
Scapaniaceae	0.813953488372093	0.18604651162790697	0.0
Typhaceae	0.8446969696969697	0.13257575757575757	0.022727272727272728
Nephroselmidaceae	1.0	0.0	0.0
Hydrodictyaceae	1.0	0.0	0.0
Cactaceae	0.9002267573696145	0.0873015873015873	0.012471655328798186
Pelliaceae	0.7230769230769231	0.27692307692307694	0.0
Eupomatiaceae	1.0	0.0	0.0
Alismataceae	0.7012987012987013	0.2824675324675325	0.016233766233766232
Dilleniaceae	0.8765432098765432	0.10493827160493827	0.018518518518518517
Strombosiaceae	0.7272727272727273	0.2727272727272727	0.0
Thymelaeaceae	0.7768532526475038	0.21104387291981846	0.012102874432677761
Hydrophyllaceae	0.8	0.2	0.0
Funariaceae	0.9834710743801653	0.008264462809917356	0.008264462809917356
Oleandraceae	1.0	0.0	0.0
Thomandersiaceae	0.75	0.0	0.25
Neotrichocoleaceae	1.0	0.0	0.0
Lythraceae	0.8794466403162056	0.10375494071146245	0.016798418972332016
Orchidaceae	0.7870791628753412	0.19881710646041856	0.014103730664240218
Ximeniaceae	0.5714285714285714	0.38095238095238093	0.047619047619047616
Microteaceae	1.0	0.0	0.0
Gleicheniaceae	0.7947368421052632	0.2	0.005263157894736842
Violaceae	0.8214285714285714	0.14285714285714285	0.03571428571428571
Trigoniaceae	1.0	0.0	0.0
Berberidaceae	0.8068322981366459	0.1763975155279503	0.016770186335403725
Chrysobalanaceae	0.8487394957983193	0.12605042016806722	0.025210084033613446
Woodsiaceae	0.8666666666666667	0.13333333333333333	0.0
Hydrangeaceae	0.7981220657276995	0.1784037558685446	0.023474178403755867
Magnoliaceae	0.8443708609271523	0.14486754966887416	0.01076158940397351
Tovariaceae	1.0	0.0	0.0
Proteaceae	0.7984496124031008	0.1937984496124031	0.007751937984496124
Hypodematiaceae	0.5	0.5	0.0
Xyridaceae	0.9761904761904762	0.023809523809523808	0.0
Melanthiaceae	0.7083926031294452	0.27311522048364156	0.01849217638691323
Juglandaceae	0.7729805013927576	0.21030640668523676	0.016713091922005572
Orthotrichaceae	1.0	0.0	0.0
Dasycladaceae	0.7272727272727273	0.2727272727272727	0.0
Ericaceae	0.8384499245093106	0.14544539506794163	0.01610468042274786
Gymnomitriaceae	0.7551020408163265	0.24489795918367346	0.0
Malpighiaceae	0.7716049382716049	0.2037037037037037	0.024691358024691357
Euphorbiaceae	0.7366776315789474	0.2462171052631579	0.017105263157894738
Selaginellaceae	0.8338461538461538	0.15076923076923077	0.015384615384615385
Annonaceae	0.7341772151898734	0.25985192261762596	0.0059708621925005975
Bonnetiaceae	0.9473684210526315	0.05263157894736842	0.0
Nanodeaceae	0.6363636363636364	0.36363636363636365	0.0
Elaeagnaceae	0.8868778280542986	0.10180995475113122	0.011312217194570135
Lanariaceae	0.9285714285714286	0.07142857142857142	0.0
Polygalaceae	0.7286585365853658	0.26422764227642276	0.007113821138211382
Bixaceae	0.6115702479338843	0.36363636363636365	0.024793388429752067
Dioscoreaceae	0.8074921956295525	0.16545265348595214	0.027055150884495317
Pontederiaceae	0.7222222222222222	0.26666666666666666	0.011111111111111112
Aphloiaceae	0.6	0.2	0.2
Biebersteiniaceae	1.0	0.0	0.0
Hydrocharitaceae	0.7083333333333334	0.14583333333333334	0.14583333333333334
Alseuosmiaceae	1.0	0.0	0.0
Celastraceae	0.702626641651032	0.29018136335209505	0.007191994996873046
Hypoxidaceae	0.7262247838616714	0.2680115273775216	0.005763688760806916
Corsiniaceae	0.5666666666666667	0.43333333333333335	0.0
Leucodontaceae	1.0	0.0	0.0
Sabiaceae	0.7831325301204819	0.21686746987951808	0.0
Acanthaceae	0.7649082568807339	0.2184633027522936	0.016628440366972478
Sphenocleaceae	0.9251336898395722	0.0748663101604278	0.0
Eucommiaceae	0.9081632653061225	0.08673469387755102	0.00510204081632653
Myodocarpaceae	1.0	0.0	0.0
